Country,Country Code,Series,Series Code,2023 [2023],2023M01 [2023M01],2023M02 [2023M02],2023M03 [2023M03],2023M04 [2023M04],2023M05 [2023M05],2023M06 [2023M06],2023M07 [2023M07],2023M08 [2023M08],2023M09 [2023M09],2023M10 [2023M10],2023M11 [2023M11],2023M12 [2023M12],2023Q1 [2023Q1],2023Q2 [2023Q2],2023Q3 [2023Q3],2023Q4 [2023Q4]
Canada,CAN,"Core CPI,not seas.adj,,,",CORENS,132.01164874552,129.30107526882,129.92831541219,130.73476702509,131.36200716846,131.89964157706,131.89964157706,132.6164874552,132.8853046595,132.79569892473,133.51254480287,133.78136200717,133.4229390681,..,..,..,..
Canada,CAN,"Core CPI,seas.adj,,,",CORESA,131.41540291407,129.34879571811,129.88403211418,130.24085637823,130.6868867083,130.86529884032,131.13291703836,131.48974130241,132.02497769848,132.20338983051,132.64942016057,133.18465655665,133.27386262266,..,..,..,..
Canada,CAN,"CPI Price, % y-o-y, median weighted, seas. adj.,",CPTOTSAXMZGY,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Canada,CAN,"CPI Price, % y-o-y, not seas. adj.,,",CPTOTSAXNZGY,3.87370509147,5.95482546201,5.29531568228,4.36827956989,4.3449197861,3.30687830688,2.75590551181,3.28515111695,4.00788436268,3.72792674951,3.05790500976,3.11284046693,3.43709468223,..,..,..,..
Canada,CAN,"CPI Price, seas. adj.,,,",CPTOTSAXN,135.65774323546,133.67875647668,133.9378238342,134.11053540587,134.80138169257,134.88773747841,135.23316062176,135.75129533679,136.701208981,136.96027633852,136.78756476684,137.30569948187,137.73747841105,..,..,..,..
Canada,CAN,"CPI Price,not seas.adj,,,",CPTOTNSXN,136.49724876919,133.70981754996,134.23110338836,134.92615117289,135.88184187663,136.40312771503,136.57688966116,137.35881841877,137.88010425717,137.70634231103,137.7932232841,137.96698523024,137.5325803649,..,..,..,..
Canada,CAN,"Exchange rate, new LCU per USD extended backward, period average,,",DPANUSSPB,1.34943940453,1.34302272727,1.343325,1.36776086957,1.3489,1.352,1.33063636364,1.32173809524,1.34704347826,1.35469047619,1.36959090909,1.37163636364,1.34292857143,..,..,..,..
Canada,CAN,"Exchange rate, old LCU per USD extended forward, period average,,",DPANUSSPF,1.34943940453,1.34302272727,1.343325,1.36776086957,1.3489,1.352,1.33063636364,1.32173809524,1.34704347826,1.35469047619,1.36959090909,1.37163636364,1.34292857143,..,..,..,..
Canada,CAN,"Exports Merchandise, Customs, constant US$, millions, not seas. adj.",DXGSRMRCHNSKD,501075.94402264,39747.1999397485,40584.9718145233,41515.6959663615,41826.2010541996,42644.8632171743,42661.7704121686,41703.724466605,41396.0884983701,41425.7208785775,42341.1682077629,42569.101887997,42659.4376791516,121847.867720633,127132.834683543,124525.533843553,127569.707774912
Canada,CAN,"Exports Merchandise, Customs, constant US$, millions, seas. adj.",DXGSRMRCHSAKD,504829.701197368,42178.6990907453,40961.5714078451,41509.3421178392,42503.4297958231,42460.5084444609,41297.1275778078,41542.373460012,42460.1666968513,42769.9815884177,42477.0074062557,42227.076447788,42442.417163522,124649.61261643,126261.065818092,126772.521745281,127146.501017566
Canada,CAN,"Exports Merchandise, Customs, current US$, millions, not seas. adj.",DXGSRMRCHNSCD,570540.691078247,47473.4876249958,47357.8411000758,47300.779045655,47399.1292086684,47386.6152850453,47360.0650217203,47149.3068525264,47222.3125844233,47408.9106512439,48247.510879884,48257.4862463801,47977.246577628,142132.107770727,142145.809515434,141780.530088194,144482.243703892
Canada,CAN,"Exports Merchandise, Customs, current US$, millions, seas. adj.",DXGSRMRCHSACD,570632.7,50386.3,47641.2,47037,47657.1,46537.7,45461.1,46359.9,47781.5,48574.9,48104.4,47470.6,47621,145064.5,139655.9,142716.3,143196
Canada,CAN,"Exports Merchandise, Customs, Price, US$, not seas. adj.",DXGSRMRCHNSXD,1.1390588219,1.19438571011,1.166881212,1.13934688904,1.13324012255,1.11119163506,1.11012891786,1.130577843,1.14074334792,1.14443175993,1.13949408866,1.13362707001,1.12465726666,1.16687127039,1.11818689182,1.13858431695,1.13259280845
Canada,CAN,"Exports Merchandise, Customs, Price, US$, seas. adj.",DXGSRMRCHSAXD,1.13038498317,1.19459113453,1.16307061381,1.13316659817,1.12125304308,1.09602314492,1.10082958952,1.11596656952,1.12532530409,1.13572412697,1.13248090996,1.12417443956,1.12201432394,1.16360944884,1.10603525917,1.1256720002,1.12622322449
Canada,CAN,"GDP,constant 2010 LCU,millions,seas. adj.,",NYGDPMKTPSAKN,2385442.75,..,..,..,..,..,..,..,..,..,..,..,..,595588.75,596820,595994.75,597039.25
Canada,CAN,"GDP,constant 2010 US$,millions,seas. adj.,",NYGDPMKTPSAKD,2058009.34848725,..,..,..,..,..,..,..,..,..,..,..,..,513836.358199682,514898.602938243,514186.629358144,515087.757991181
Canada,CAN,"GDP,current LCU,millions,seas. adj.,",NYGDPMKTPSACN,2933810,..,..,..,..,..,..,..,..,..,..,..,..,720784,726105,737792,749129
Canada,CAN,"GDP,current US$,millions,seas. adj.,",NYGDPMKTPSACD,2174077.37260357,..,..,..,..,..,..,..,..,..,..,..,..,533372.984060307,540318.827246098,550115.912988843,550269.648308318
Canada,CAN,"Imports Merchandise, Customs, constant US$, millions, not seas. adj.",DMGSRMRCHNSKD,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Canada,CAN,"Imports Merchandise, Customs, constant US$, millions, seas. adj.",DMGSRMRCHSAKD,473376.337052719,40272.268288069,39649.1541291688,38507.4776977851,38390.0278183339,40240.3817060283,40643.0079142621,39080.1173910244,39289.9468575705,39841.675242805,38402.769575329,39235.0677709885,39824.4426613537,118428.900115023,119273.417438624,118211.7394914,117462.280007671
Canada,CAN,"Imports Merchandise, Customs, current US$, millions, not seas. adj.",DMGSRMRCHNSCD,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Canada,CAN,"Imports Merchandise, Customs, current US$, millions, seas. adj.",DMGSRMRCHSACD,571203.3,48934.4,47757.6,45979.2,46479.9,48383.6,49152.3,47245.3,47745.2,47957.2,46287.2,47111.8,48169.6,142671.2,144015.8,142947.7,141568.6
Canada,CAN,"Imports Merchandise, Customs, Price, US$, not seas. adj.",DMGSRMRCHNSXD,1.21686857423,1.22354561256,1.21381688982,1.20698654089,1.22103881913,1.21354272716,1.21298495067,1.21442560768,1.2217789481,1.21206998586,1.22206356309,1.21653784762,1.22363139818,1.21478301442,1.21585549899,1.21609151388,1.22074426963
Canada,CAN,"Imports Merchandise, Customs, Price, US$, seas. adj.",DMGSRMRCHSAXD,1.20662765811,1.2150892433,1.20450488917,1.19403302291,1.21072847928,1.20236434022,1.20936669116,1.20893444427,1.21520144003,1.20369436545,1.2053089012,1.20075745185,1.20954862845,1.20454238512,1.20748650355,1.20927674992,1.20520499384
Canada,CAN,"Industrial Production, constant US$, seas. adj.,,",IPTOTSAKD,266621275981.737,22144121504.893,22267200449.0204,22339837202.9316,22275271199.455,22224829009.2388,22226846696.8475,22158245318.1535,22190528319.8918,22095697002.2855,22125962316.4151,22347907953.3662,22224829009.2388,..,..,..,..
Canada,CAN,"Industrial Production, constant US$,,,",IPTOTNSKD,..,21966102434.1687,22753877584.0179,22808838640.9842,21361530807.5402,21196647636.6415,22094344900.4232,21306569750.574,21966102434.1687,22167626309.7115,21892821024.8804,..,..,..,..,..,..
